"taskId","providerId","name","priority","region","city","address","phone","website","missingFields","source","sourceQuality","importSource","reviewReason","suggestedSearches"
"gp-corroborate:gp-dr-k-magan-surgery-36-9661-174-8259","gp-dr-k-magan-surgery-36-9661-174-8259","Dr K Magan Surgery","medium","Auckland","Māngere East","Corner of Yates Road & Massey Road, Māngere East, Auckland 2024","(09) 275 4763","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Dr K Magan Surgery"" ""Māngere East"" GP NZ; ""Dr K Magan Surgery"" ""Corner of Yates Road & Massey Road, Māngere East, Auckland 2024""; ""(09) 275 4763"" ""Dr K Magan Surgery""; site:healthpoint.co.nz ""Dr K Magan Surgery"" ""Māngere East""; site:health.govt.nz ""Dr K Magan Surgery"" ""Māngere East""; ""Dr K Magan Surgery"" ""Māngere East"" ""medical centre"" NZ"
"gp-corroborate:gp-dr-upsdell-s-surgery-36-9725-174-8341","gp-dr-upsdell-s-surgery-36-9725-174-8341","Dr Upsdell's Surgery","medium","Auckland","Māngere East","2 Graeme Avenue, Māngere East, Auckland 2024","(09) 278 7214","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Dr Upsdell's Surgery"" ""Māngere East"" GP NZ; ""Dr Upsdell's Surgery"" ""2 Graeme Avenue, Māngere East, Auckland 2024""; ""(09) 278 7214"" ""Dr Upsdell's Surgery""; site:healthpoint.co.nz ""Dr Upsdell's Surgery"" ""Māngere East""; site:health.govt.nz ""Dr Upsdell's Surgery"" ""Māngere East""; ""Dr Upsdell's Surgery"" ""Māngere East"" ""medical centre"" NZ"
"gp-corroborate:gp-m-ngere-east-medical-centre-36-9665-174-8251","gp-m-ngere-east-medical-centre-36-9665-174-8251","Māngere East Medical Centre","medium","Auckland","Māngere East","Countdown Shopping Centre, 359 Massey Road, Māngere East, Auckland","(09) 275 8587","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Māngere East Medical Centre"" ""Māngere East"" GP NZ; ""Māngere East Medical Centre"" ""Countdown Shopping Centre, 359 Massey Road, Māngere East, Auckland""; ""(09) 275 8587"" ""Māngere East Medical Centre""; site:healthpoint.co.nz ""Māngere East Medical Centre"" ""Māngere East""; site:health.govt.nz ""Māngere East Medical Centre"" ""Māngere East""; ""Māngere East Medical Centre"" ""Māngere East"" ""medical centre"" NZ"
"gp-corroborate:gp-manukau-family-doctors-36-9841-174-8785","gp-manukau-family-doctors-36-9841-174-8785","Manukau Family Doctors","medium","Auckland","Manukau","9/597 Great South Road, Manukau, Auckland","(09) 277 5777","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Manukau Family Doctors"" ""Manukau"" GP NZ; ""Manukau Family Doctors"" ""9/597 Great South Road, Manukau, Auckland""; ""(09) 277 5777"" ""Manukau Family Doctors""; site:healthpoint.co.nz ""Manukau Family Doctors"" ""Manukau""; site:health.govt.nz ""Manukau Family Doctors"" ""Manukau""; ""Manukau Family Doctors"" ""Manukau"" ""medical centre"" NZ"
"gp-corroborate:gp-fellbrook-medical-centre-37-0205-174-8644","gp-fellbrook-medical-centre-37-0205-174-8644","Fellbrook Medical Centre","medium","Auckland","Manurewa","33 Fellbrook St, Manurewa, Auckland 2102","(09) 269 0088","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Fellbrook Medical Centre"" ""Manurewa"" GP NZ; ""Fellbrook Medical Centre"" ""33 Fellbrook St, Manurewa, Auckland 2102""; ""(09) 269 0088"" ""Fellbrook Medical Centre""; site:healthpoint.co.nz ""Fellbrook Medical Centre"" ""Manurewa""; site:health.govt.nz ""Fellbrook Medical Centre"" ""Manurewa""; ""Fellbrook Medical Centre"" ""Manurewa"" ""medical centre"" NZ"
"gp-corroborate:gp-my-doctor-matakana-36-3534-174-7167","gp-my-doctor-matakana-36-3534-174-7167","My Doctor Matakana","medium","Auckland","Matakana","985 Matakana Road, Matakana, Auckland 0985","(09) 553 4600","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""My Doctor Matakana"" ""Matakana"" GP NZ; ""My Doctor Matakana"" ""985 Matakana Road, Matakana, Auckland 0985""; ""(09) 553 4600"" ""My Doctor Matakana""; site:healthpoint.co.nz ""My Doctor Matakana"" ""Matakana""; site:health.govt.nz ""My Doctor Matakana"" ""Matakana""; ""My Doctor Matakana"" ""Matakana"" ""medical centre"" NZ"
"gp-corroborate:gp-assist-healthcare-36-8844-174-7164","gp-assist-healthcare-36-8844-174-7164","Assist Healthcare","medium","Auckland","Mount Albert","6 Mount Albert Road, Mount Albert, Auckland 1025","(09) 281 1900","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Assist Healthcare"" ""Mount Albert"" GP NZ; ""Assist Healthcare"" ""6 Mount Albert Road, Mount Albert, Auckland 1025""; ""(09) 281 1900"" ""Assist Healthcare""; site:healthpoint.co.nz ""Assist Healthcare"" ""Mount Albert""; site:health.govt.nz ""Assist Healthcare"" ""Mount Albert""; ""Assist Healthcare"" ""Mount Albert"" ""medical centre"" NZ"
"gp-corroborate:gp-mt-albert-medical-centre-36-8856-174-7142","gp-mt-albert-medical-centre-36-8856-174-7142","Mt Albert Medical Centre","medium","Auckland","Mount Albert","986 New North Road, Mount Albert, Auckland 1025","(09) 846 7493","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Mt Albert Medical Centre"" ""Mount Albert"" GP NZ; ""Mt Albert Medical Centre"" ""986 New North Road, Mount Albert, Auckland 1025""; ""(09) 846 7493"" ""Mt Albert Medical Centre""; site:healthpoint.co.nz ""Mt Albert Medical Centre"" ""Mount Albert""; site:health.govt.nz ""Mt Albert Medical Centre"" ""Mount Albert""; ""Mt Albert Medical Centre"" ""Mount Albert"" ""medical centre"" NZ"
"gp-corroborate:gp-healthcare-roskill-south-36-9212-174-7355","gp-healthcare-roskill-south-36-9212-174-7355","Healthcare Roskill South","medium","Auckland","Mount Roskill","1259 Dominion Road Extension, Mount Roskill, Auckland 1041","(09) 620 8573","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Healthcare Roskill South"" ""Mount Roskill"" GP NZ; ""Healthcare Roskill South"" ""1259 Dominion Road Extension, Mount Roskill, Auckland 1041""; ""(09) 620 8573"" ""Healthcare Roskill South""; site:healthpoint.co.nz ""Healthcare Roskill South"" ""Mount Roskill""; site:health.govt.nz ""Healthcare Roskill South"" ""Mount Roskill""; ""Healthcare Roskill South"" ""Mount Roskill"" ""medical centre"" NZ"
"gp-corroborate:gp-k-road-medical-centre-36-8579-174-7572","gp-k-road-medical-centre-36-8579-174-7572","K' Road Medical Centre","medium","Auckland","Newton","345 Karangahape Road, Newton, Auckland 1010","(09) 373 5041","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""K' Road Medical Centre"" ""Newton"" GP NZ; ""K' Road Medical Centre"" ""345 Karangahape Road, Newton, Auckland 1010""; ""(09) 373 5041"" ""K' Road Medical Centre""; site:healthpoint.co.nz ""K' Road Medical Centre"" ""Newton""; site:health.govt.nz ""K' Road Medical Centre"" ""Newton""; ""K' Road Medical Centre"" ""Newton"" ""medical centre"" NZ"
"gp-corroborate:gp-newton-medical-centre-36-8580-174-7570","gp-newton-medical-centre-36-8580-174-7570","Newton Medical Centre","medium","Auckland","Newton","353 Karangahape Road, Newton, Auckland 1010","(09) 309 6871","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Newton Medical Centre"" ""Newton"" GP NZ; ""Newton Medical Centre"" ""353 Karangahape Road, Newton, Auckland 1010""; ""(09) 309 6871"" ""Newton Medical Centre""; site:healthpoint.co.nz ""Newton Medical Centre"" ""Newton""; site:health.govt.nz ""Newton Medical Centre"" ""Newton""; ""Newton Medical Centre"" ""Newton"" ""medical centre"" NZ"
"gp-corroborate:gp-family-medicine-birkenhead-36-8103-174-7367","gp-family-medicine-birkenhead-36-8103-174-7367","Family Medicine Birkenhead","medium","Auckland","North Shore","29 Birkenhead Avenue, Birkenhead, North Shore 0626","(09) 480 7204","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Family Medicine Birkenhead"" ""North Shore"" GP NZ; ""Family Medicine Birkenhead"" ""29 Birkenhead Avenue, Birkenhead, North Shore 0626""; ""(09) 480 7204"" ""Family Medicine Birkenhead""; site:healthpoint.co.nz ""Family Medicine Birkenhead"" ""North Shore""; site:health.govt.nz ""Family Medicine Birkenhead"" ""North Shore""; ""Family Medicine Birkenhead"" ""North Shore"" ""medical centre"" NZ"
"gp-corroborate:gp-green-cross-clinic-36-7895-174-7689","gp-green-cross-clinic-36-7895-174-7689","Green Cross Clinic","medium","Auckland","North Shore City","4 Auburn Street, Takapuna, North Shore City 0622","(09) 486 1001","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Green Cross Clinic"" ""North Shore City"" GP NZ; ""Green Cross Clinic"" ""4 Auburn Street, Takapuna, North Shore City 0622""; ""(09) 486 1001"" ""Green Cross Clinic""; site:healthpoint.co.nz ""Green Cross Clinic"" ""North Shore City""; site:health.govt.nz ""Green Cross Clinic"" ""North Shore City""; ""Green Cross Clinic"" ""North Shore City"" ""medical centre"" NZ"
"gp-corroborate:gp-northcote-point-doctors-36-8104-174-7418","gp-northcote-point-doctors-36-8104-174-7418","Northcote Point Doctors","medium","Auckland","Northcote","73 Onewa Road, Northcote, Auckland 0627","(09) 480 9309","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Northcote Point Doctors"" ""Northcote"" GP NZ; ""Northcote Point Doctors"" ""73 Onewa Road, Northcote, Auckland 0627""; ""(09) 480 9309"" ""Northcote Point Doctors""; site:healthpoint.co.nz ""Northcote Point Doctors"" ""Northcote""; site:health.govt.nz ""Northcote Point Doctors"" ""Northcote""; ""Northcote Point Doctors"" ""Northcote"" ""medical centre"" NZ"
"gp-corroborate:gp-onehunga-family-medical-centre-36-9235-174-7856","gp-onehunga-family-medical-centre-36-9235-174-7856","Onehunga Family Medical Centre","medium","Auckland","Onehunga","161 Onehunga Mall, Onehunga, Auckland 1061","(09) 636 6267","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Onehunga Family Medical Centre"" ""Onehunga"" GP NZ; ""Onehunga Family Medical Centre"" ""161 Onehunga Mall, Onehunga, Auckland 1061""; ""(09) 636 6267"" ""Onehunga Family Medical Centre""; site:healthpoint.co.nz ""Onehunga Family Medical Centre"" ""Onehunga""; site:health.govt.nz ""Onehunga Family Medical Centre"" ""Onehunga""; ""Onehunga Family Medical Centre"" ""Onehunga"" ""medical centre"" NZ"
"gp-corroborate:gp-t-huhu-family-doctors-36-9441-174-8406","gp-t-huhu-family-doctors-36-9441-174-8406","Ōtāhuhu Family Doctors","medium","Auckland","Ōtāhuhu","29 Mason Avenue, Ōtāhuhu, Auckland 1062","(09) 276 1339","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Ōtāhuhu Family Doctors"" ""Ōtāhuhu"" GP NZ; ""Ōtāhuhu Family Doctors"" ""29 Mason Avenue, Ōtāhuhu, Auckland 1062""; ""(09) 276 1339"" ""Ōtāhuhu Family Doctors""; site:healthpoint.co.nz ""Ōtāhuhu Family Doctors"" ""Ōtāhuhu""; site:health.govt.nz ""Ōtāhuhu Family Doctors"" ""Ōtāhuhu""; ""Ōtāhuhu Family Doctors"" ""Ōtāhuhu"" ""medical centre"" NZ"
"gp-corroborate:gp-queen-street-medical-centre-36-9463-174-8442","gp-queen-street-medical-centre-36-9463-174-8442","Queen Street Medical Centre","medium","Auckland","Ōtāhuhu","31 Queen Street, Ōtāhuhu, Auckland 1062","(09) 276 5566","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Queen Street Medical Centre"" ""Ōtāhuhu"" GP NZ; ""Queen Street Medical Centre"" ""31 Queen Street, Ōtāhuhu, Auckland 1062""; ""(09) 276 5566"" ""Queen Street Medical Centre""; site:healthpoint.co.nz ""Queen Street Medical Centre"" ""Ōtāhuhu""; site:health.govt.nz ""Queen Street Medical Centre"" ""Ōtāhuhu""; ""Queen Street Medical Centre"" ""Ōtāhuhu"" ""medical centre"" NZ"
"gp-corroborate:gp-clevedon-road-medical-centre-37-0621-174-9486","gp-clevedon-road-medical-centre-37-0621-174-9486","Clevedon Road Medical Centre","medium","Auckland","Papakura","1 Clevedon Road, Papakura, Auckland 2110","(09) 298 3110","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Clevedon Road Medical Centre"" ""Papakura"" GP NZ; ""Clevedon Road Medical Centre"" ""1 Clevedon Road, Papakura, Auckland 2110""; ""(09) 298 3110"" ""Clevedon Road Medical Centre""; site:healthpoint.co.nz ""Clevedon Road Medical Centre"" ""Papakura""; site:health.govt.nz ""Clevedon Road Medical Centre"" ""Papakura""; ""Clevedon Road Medical Centre"" ""Papakura"" ""medical centre"" NZ"
"gp-corroborate:gp-papakura-family-doctors-37-0569-174-9395","gp-papakura-family-doctors-37-0569-174-9395","Papakura Family Doctors","medium","Auckland","Papakura","74 Great South Road, Papakura, Auckland 2110","(09) 298 6378","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""Papakura Family Doctors"" ""Papakura"" GP NZ; ""Papakura Family Doctors"" ""74 Great South Road, Papakura, Auckland 2110""; ""(09) 298 6378"" ""Papakura Family Doctors""; site:healthpoint.co.nz ""Papakura Family Doctors"" ""Papakura""; site:health.govt.nz ""Papakura Family Doctors"" ""Papakura""; ""Papakura Family Doctors"" ""Papakura"" ""medical centre"" NZ"
"gp-corroborate:gp-the-wood-street-doctors-37-0648-174-9415","gp-the-wood-street-doctors-37-0648-174-9415","The Wood Street Doctors","medium","Auckland","Papakura","48 Wood Street, Papakura, Auckland 2110","(09) 299 8194","","website","https://doctorpricer.co.nz/","third-party public GP listing","doctorpricer","GP record needs stronger corroboration: missing website; DoctorPricer-derived source.","""The Wood Street Doctors"" ""Papakura"" GP NZ; ""The Wood Street Doctors"" ""48 Wood Street, Papakura, Auckland 2110""; ""(09) 299 8194"" ""The Wood Street Doctors""; site:healthpoint.co.nz ""The Wood Street Doctors"" ""Papakura""; site:health.govt.nz ""The Wood Street Doctors"" ""Papakura""; ""The Wood Street Doctors"" ""Papakura"" ""medical centre"" NZ"
